postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3779,394,0,0,0,0,0,16/10/2021,17/10/2021
3781,4471,5,11,111.8,0,4,16/10/2021,17/10/2021
3782,7824,21,35,268.4,1,5,16/10/2021,17/10/2021
3783,2350,4,6,170.2,0,4,16/10/2021,17/10/2021
3785,77,2,2,2597.4,0,7,16/10/2021,17/10/2021
3786,1520,0,2,0,0,0,16/10/2021,17/10/2021
3787,1059,4,7,377.7,3,5,16/10/2021,17/10/2021
3788,1742,2,2,114.8,0,4,16/10/2021,17/10/2021
3789,265,0,0,0,0,0,16/10/2021,17/10/2021
3791,1440,0,2,0,0,0,16/10/2021,17/10/2021
3792,1064,0,0,0,0,0,16/10/2021,17/10/2021
3793,3575,11,14,307.7,0,5,16/10/2021,17/10/2021
3795,1249,2,5,160.1,0,4,16/10/2021,17/10/2021
3796,9698,10,22,103.1,0,4,16/10/2021,17/10/2021
3797,3474,1,8,28.8,0,2,16/10/2021,17/10/2021
3799,5800,2,8,34.5,0,2,16/10/2021,17/10/2021
3800,2211,0,0,0,0,0,16/10/2021,17/10/2021
3801,,1,1,0,0,0,16/10/2021,17/10/2021
3802,24292,147,288,605.1,11,6,16/10/2021,17/10/2021
3803,10856,144,263,1326.5,11,7,16/10/2021,17/10/2021
3804,8096,62,96,765.8,1,6,16/10/2021,17/10/2021
3805,56937,333,649,584.9,38,6,16/10/2021,17/10/2021
3806,48521,158,282,325.6,14,5,16/10/2021,17/10/2021
3807,7096,13,40,183.2,0,4,16/10/2021,17/10/2021
3808,3031,10,18,329.9,0,5,16/10/2021,17/10/2021
3809,7212,84,172,1164.7,11,7,16/10/2021,17/10/2021
3810,47892,255,538,532.4,24,6,16/10/2021,17/10/2021
3812,2310,4,16,173.2,1,4,16/10/2021,17/10/2021
3813,886,3,4,338.6,0,5,16/10/2021,17/10/2021
3814,2257,8,9,354.5,1,5,16/10/2021,17/10/2021
3815,3020,4,5,132.5,0,4,16/10/2021,17/10/2021
3816,2717,18,21,662.5,4,6,16/10/2021,17/10/2021
3818,14170,78,87,550.5,6,6,16/10/2021,17/10/2021
3820,15952,68,77,426.3,8,5,16/10/2021,17/10/2021
3821,2918,4,9,137.1,0,4,16/10/2021,17/10/2021
3822,983,1,1,101.7,0,4,16/10/2021,17/10/2021
3823,1839,13,17,706.9,1,6,16/10/2021,17/10/2021
3824,5003,0,2,0,0,0,16/10/2021,17/10/2021
3825,20282,24,31,118.3,0,4,16/10/2021,17/10/2021
3831,1701,9,10,529.1,0,6,16/10/2021,17/10/2021
3832,249,0,0,0,0,0,16/10/2021,17/10/2021
3833,304,0,0,0,0,0,16/10/2021,17/10/2021
3835,472,5,5,1059.3,0,7,16/10/2021,17/10/2021
3840,16478,84,112,509.8,4,6,16/10/2021,17/10/2021
3842,4784,6,11,125.4,0,4,16/10/2021,17/10/2021
3844,28981,40,110,138,2,4,16/10/2021,17/10/2021
3847,2191,0,3,0,0,0,16/10/2021,17/10/2021
3850,14782,3,13,20.3,0,2,16/10/2021,17/10/2021
3851,5689,1,5,17.6,1,1,16/10/2021,17/10/2021
3852,92,0,0,0,0,0,16/10/2021,17/10/2021
3854,1400,0,2,0,0,0,16/10/2021,17/10/2021
3856,992,0,3,0,0,0,16/10/2021,17/10/2021
3857,368,0,0,0,0,0,16/10/2021,17/10/2021
3858,3026,0,0,0,0,0,16/10/2021,17/10/2021
3859,834,2,2,239.8,0,5,16/10/2021,17/10/2021
3860,7171,0,2,0,0,0,16/10/2021,17/10/2021
3862,3157,0,4,0,0,0,16/10/2021,17/10/2021
3864,218,0,0,0,0,0,16/10/2021,17/10/2021
3865,445,0,1,0,0,0,16/10/2021,17/10/2021
3869,1624,1,1,61.6,0,3,16/10/2021,17/10/2021
3870,1265,1,1,79.1,0,3,16/10/2021,17/10/2021
3871,2904,2,2,68.9,0,3,16/10/2021,17/10/2021
3873,323,0,0,0,0,0,16/10/2021,17/10/2021
3874,558,3,3,537.6,0,6,16/10/2021,17/10/2021
3875,18625,3,9,16.1,0,1,16/10/2021,17/10/2021
3878,1098,0,0,0,0,0,16/10/2021,17/10/2021
3880,4037,0,2,0,0,0,16/10/2021,17/10/2021
3882,1094,0,0,0,0,0,16/10/2021,17/10/2021
3885,1868,0,0,0,0,0,16/10/2021,17/10/2021
3886,395,0,0,0,0,0,16/10/2021,17/10/2021
3887,342,0,0,0,0,0,16/10/2021,17/10/2021
3888,3421,0,0,0,0,0,16/10/2021,17/10/2021
3889,179,0,0,0,0,0,16/10/2021,17/10/2021
3890,324,0,0,0,0,0,16/10/2021,17/10/2021
3891,104,0,0,0,0,0,16/10/2021,17/10/2021
3892,1060,0,0,0,0,0,16/10/2021,17/10/2021
3893,22,0,0,0,0,0,16/10/2021,17/10/2021
3895,194,0,0,0,0,0,16/10/2021,17/10/2021
3896,405,0,0,0,0,0,16/10/2021,17/10/2021
3898,790,0,0,0,0,0,16/10/2021,17/10/2021
3900,151,0,0,0,0,0,16/10/2021,17/10/2021
3902,412,0,0,0,0,0,16/10/2021,17/10/2021
3903,746,0,0,0,0,0,16/10/2021,17/10/2021
3904,1452,0,0,0,0,0,16/10/2021,17/10/2021
3909,7901,2,3,25.3,2,2,16/10/2021,17/10/2021
3910,22587,40,112,177.1,4,4,16/10/2021,17/10/2021
